order_id,order_date,user_id,product_id,quantity,price,total_amount,country,city
02331b2d-634e-481e-a11e-12e88447e016,2025-07-08,560284,1008,1,73.85,73.85,Australia,Brisbane
dd7050cf-72e0-4895-b640-2d5b920858a4,2024-12-18,670736,1002,2,45.73,91.46,Germany,Munich
326534b9-361e-4359-bd8d-9fce399f376f,2025-02-03,986285,1002,1,48.65,48.65,Japan,Nagoya
bb48584d-8512-4d46-b67b-bfa3bc1e1613,2024-10-27,315635,1003,3,97.77,293.31,India,Mumbai
7fafb9d4-8a96-4f0d-94ba-7863ce75a438,2024-10-29,691523,1008,2,80.64,161.28,Japan,Tokyo
ea3d29db-369a-4e00-a8b8-137d4512f8f5,2025-07-03,451156,1006,3,27.07,81.21,Germany,Hamburg
64901802-d2ec-46d6-bbdb-9228ea08b90c,2024-12-05,622124,1009,2,17.3,34.6,Germany,Munich
f3ed72b5-6b8d-41fe-9733-d343c914b9f4,2025-01-30,947085,1008,2,81.83,163.66,UK,Manchester
7e5a315f-9991-40c2-afaf-072f28e197ee,2025-04-27,185346,1001,3,18.26,54.78,Mexico,Guadalajara
9a39ba1d-c8f4-4082-a778-67bb651bfd5a,2025-07-19,508482,1010,4,31.17,124.68,India,Mumbai
60fa9ee4-c637-4de2-b7e4-33105cb39dfa,2025-04-12,247621,1006,2,26.7,53.4,UK,Birmingham
8fc5a636-0913-496d-8243-ec65fc08f9c2,2025-04-10,621635,1009,2,16.72,33.44,Australia,Sydney
bdbbafe7-8fc0-4b0b-9e19-e574068ef704,2025-07-04,637635,1008,2,85.1,170.2,Japan,Osaka
ad473a1c-7518-4cfd-a8d8-d8b95ef83101,2025-05-11,254430,1006,5,24.99,124.95,Mexico,Mexico City
9a32b64c-6f92-4e34-bb6e-8a6ea97e844a,2025-06-22,445164,1007,4,234.69,938.76,UK,Bristol
2f3dcc4a-4133-4870-82b9-4957fc34f44c,2025-02-07,979479,1007,2,209.03,418.06,India,Mumbai
c746f66e-34e2-4273-a2f1-ab3b007fc326,2024-08-31,401887,1010,4,28.88,115.52,India,Delhi
2a363eac-8091-407a-a348-4fd36c30bbbb,2025-06-26,602022,1009,5,14.89,74.45,Australia,Sydney
7dcb04e9-dcef-47fe-936f-24c2ff6f755d,2025-02-26,960445,1001,5,18.99,94.95,UK,Bristol
5d8084be-d45e-4143-96a7-8c3d8d85781d,2024-07-31,265221,1008,1,78.01,78.01,Brazil,Sao Paulo
4696230e-e5ac-41d4-892f-4a55b4e0d1ed,2024-09-03,559371,1002,5,46,230,Canada,Ottawa
e1d2e8b7-6540-402c-b2b9-4e003a44cbf6,2025-04-27,581452,1008,4,87.2,348.8,USA,Los Angeles
749dc8ff-3400-41cc-96d5-3f62baec0dc8,2025-05-22,907263,1004,3,10.59,31.77,Brazil,Brasilia
33c1dd5d-4f0e-429c-8c52-5d2b7b46d9ea,2025-02-28,248798,1005,3,37.17,111.51,India,Hyderabad
2cc2e497-b33b-46b9-9695-d0b8fb10b021,2024-08-11,215005,1005,4,42.63,170.52,USA,Chicago
a2faceaa-48df-480d-8026-7c65e0853500,2025-01-29,987421,1008,5,76.25,381.25,UK,Birmingham
cc26bece-46fc-4b4d-bdfc-f714dfbf5eaa,2025-01-02,800184,1008,3,82.04,246.12,UK,Manchester
e77535b7-8f6a-4eaf-978e-e8458320778e,2024-10-24,157161,1010,2,30.7,61.4,Germany,Berlin
a37a3439-ce41-4a0e-8226-9c920cd2234a,2025-06-12,489226,1010,3,29.29,87.87,USA,Chicago
951f6bcb-4270-42ce-8197-f6edc709931e,2024-08-10,191319,1001,1,19.65,19.65,Mexico,Puebla
a7a65715-f3a8-47a2-b4c0-91ffc387a6ee,2024-10-15,678790,1003,2,91.11,182.22,Japan,Tokyo
fff7a94b-fd3c-4ef3-a7ac-680decc29fcf,2025-07-14,176163,1006,2,24.83,49.66,France,Toulouse
e231f96a-e528-4817-8f13-df6da43e31fd,2025-04-07,969203,1009,2,14.68,29.36,Brazil,Salvador
02f98e8e-6edf-441d-8ce3-badee8e95269,2025-02-19,749932,1007,3,244.08,732.24,Brazil,Brasilia
